(11, 16)
(10, 16)
(9, 16)
(9, 15)
(8, 15)
(7, 15)
(8, 16)
(7, 16)
(6, 16)
(5, 15)
(6, 15)
(35, 40)
(37, 40)
(39, 40)
(40, 40)
(41, 40)
(34, 40)
(33, 40)
(32, 40)
(44, 20)
(44, 22)
(44, 26)
(44, 24)
(44, 25)
(47, 25)
(46, 25)
(45, 25)
(44, 28)
(44, 30)
(44, 31)
(44, 34)
(47, 34)
(46, 34)
(45, 34)
(44, 33)
(48, 36)
(47, 36)
(46, 36)
(45, 36)
(44, 36)
(43, 36)
(42, 36)
(41, 36)
(40, 36)
(39, 36)
(38, 36)
(35, 36)
(34, 36)
(33, 36)
(32, 36)
(31, 36)
(41, 38)
(40, 38)
(37, 38)
(38, 38)
(39, 38)
(36, 38)
(35, 38)
(34, 38)
(33, 38)
(32, 38)
(31, 38)
(30, 38)
(29, 38)
(30, 37)
(28, 38)
(27, 38)
(26, 38)
(25, 38)
(25, 37)
(24, 38)
(23, 37)
(22, 37)
(41, 43)
(41, 42)
(41, 41)
(28, 43)
(28, 42)
(28, 41)
(28, 40)
(37, 43)
(37, 42)
(37, 41)
(32, 41)
(32, 42)
(32, 43)
(19, 44)
(47, 32)
(46, 32)
(45, 32)
(44, 32)
(44, 29)
(45, 29)
(46, 29)
(47, 29)
(44, 27)
(45, 27)
(46, 27)
(47, 27)
(44, 23)
(45, 23)
(46, 23)
(47, 23)
(47, 21)
(46, 21)
(45, 21)
(44, 21)
(45, 19)
(44, 19)
(46, 19)
(47, 19)
(44, 18)
(44, 17)
(45, 17)
(46, 17)
(47, 17)
(40, 16)
(39, 16)
(38, 16)
(37, 16)
(36, 16)
(35, 16)
(34, 16)
(33, 16)
(32, 16)
(32, 15)
(32, 14)
(25, 32)
(26, 32)
(27, 32)
(29, 32)
(28, 32)
(26, 29)
(27, 29)
(28, 29)
(29, 29)
(25, 27)
(26, 27)
(27, 27)
(28, 27)
(29, 27)
(25, 25)
(26, 25)
(27, 25)
(28, 25)
(29, 25)
(25, 23)
(26, 23)
(27, 23)
(28, 23)
(29, 23)
(29, 16)
(28, 16)
(27, 16)
(26, 16)
(25, 16)
(30, 30)
(30, 31)
(30, 32)
(30, 33)
(30, 34)
(30, 35)
(48, 41)
(48, 42)
(48, 43)
(48, 44)
(47, 44)
(45, 44)
(46, 44)
(43, 44)
(44, 44)
(42, 44)
(41, 44)
(40, 44)
(39, 44)
(38, 44)
(37, 44)
(36, 44)
(35, 44)
(34, 44)
(33, 44)
(32, 44)
(29, 44)
(31, 44)
(30, 44)
(27, 44)
(24, 44)
(28, 44)
(26, 44)
(25, 44)
(23, 44)
(22, 44)
(21, 44)
(20, 44)
(18, 44)
(48, 32)
(48, 31)
(48, 30)
(48, 29)
(48, 28)
(48, 27)
(48, 26)
(11, 38)
(11, 39)
(11, 40)
(12, 40)
(13, 40)
(15, 40)
(14, 40)
(14, 39)
(14, 38)
(16, 38)
(16, 39)
(16, 40)
(16, 41)
(16, 42)
(16, 43)
(14, 44)
(15, 44)
(16, 44)
(17, 44)
(10, 44)
(12, 44)
(13, 44)
(11, 44)
(9, 44)
(8, 44)
(7, 44)
(6, 44)
(5, 44)
(4, 44)
(4, 43)
(5, 43)
(13, 23)
(14, 24)
(15, 24)
(16, 24)
(17, 25)
(4, 23)
(4, 22)
(5, 22)
(5, 21)
(6, 20)
(7, 19)
(7, 18)
(8, 18)
(8, 17)
(13, 6)
(14, 6)
(16, 7)
(13, 17)
(15, 18)
(14, 17)
(15, 17)
(18, 19)
(19, 19)
(20, 20)
(20, 19)
(21, 20)
(6, 41)
(13, 31)
(14, 30)
(15, 29)
(16, 28)
(16, 27)
(17, 26)
(18, 25)
(22, 19)
(22, 20)
(12, 32)
(12, 33)
(11, 34)
(9, 9)
(10, 9)
(10, 8)
(11, 7)
(12, 6)
(13, 5)
(14, 4)
(14, 3)
(15, 3)
(21, 21)
(20, 22)
(19, 23)
(19, 24)
(9, 10)
(8, 10)
(8, 11)
(5, 42)
(5, 41)
(6, 40)
(7, 40)
(7, 39)
(8, 38)
(9, 37)
(10, 36)
(10, 35)
(12, 17)
(6, 14)
(6, 13)
(7, 13)
(7, 12)
(8, 12)
(14, 22)
(15, 21)
(14, 21)
(15, 20)
(15, 19)
(16, 19)
(17, 19)
(4, 14)
(5, 14)
(11, 8)
(12, 5)
(13, 4)
(19, 2)
(18, 2)
(17, 2)
(16, 2)
(15, 2)
(22, 27)
(18, 26)
(19, 26)
(20, 26)
(21, 26)
(22, 26)
(22, 25)
(22, 24)
(22, 23)
(21, 23)
(20, 23)
(21, 8)
(20, 8)
(19, 8)
(18, 8)
(18, 7)
(17, 7)
(15, 6)
(15, 7)
(48, 40)
(48, 38)
(48, 39)
(48, 37)
(48, 35)
(48, 34)
(48, 33)
(31, 2)
(32, 2)
(33, 2)
(33, 3)
(33, 4)
(33, 5)
(33, 6)
(33, 7)
(33, 8)
(33, 9)
(33, 10)
(33, 11)
(33, 12)
(33, 13)
(33, 14)
(34, 14)
(35, 14)
(36, 14)
(37, 14)
(38, 14)
(39, 14)
(40, 14)
(41, 14)
(43, 14)
(42, 14)
(44, 14)
(45, 14)
(46, 14)
(47, 14)
(48, 14)
(48, 15)
(48, 16)
(48, 19)
(48, 17)
(48, 18)
(48, 20)
(48, 21)
(48, 22)
(48, 23)
(48, 24)
(48, 25)
(21, 16)
(21, 17)
(21, 19)
(21, 18)
(22, 18)
(22, 17)
(22, 16)
(22, 15)
(21, 15)
(21, 14)
(22, 14)
(22, 11)
(20, 2)
(21, 2)
(21, 3)
(21, 4)
(21, 5)
(21, 6)
(21, 7)
(22, 10)
(21, 10)
(21, 11)
(22, 9)
(22, 8)
(21, 9)
(22, 7)
(22, 6)
(22, 5)
(22, 4)
(22, 3)
(22, 2)
(23, 2)
(25, 2)
(24, 2)
(26, 2)
(27, 2)
(28, 2)
(29, 2)
(30, 2)
(20, 42)
(20, 43)
(20, 40)
(20, 41)
(20, 39)
(20, 38)
(20, 37)
(22, 34)
(21, 34)
(20, 34)
(19, 34)
(22, 30)
(21, 30)
(20, 30)
(21, 32)
(20, 32)
(19, 32)
(19, 33)
(19, 31)
(19, 30)
(19, 29)
(21, 28)
(20, 28)
(19, 28)
(19, 27)
(20, 27)
(22, 33)
(22, 32)
(22, 31)
(22, 29)
(22, 28)
(14, 31)
(13, 32)
(17, 27)
(11, 35)
(12, 34)
(13, 34)
(14, 34)
(16, 34)
(15, 34)
(11, 36)
(12, 36)
(14, 36)
(13, 36)
(15, 36)
(16, 36)
(17, 36)
(18, 36)
(19, 36)
(20, 36)
(21, 36)
(22, 36)
(25, 14)
(26, 14)
(27, 14)
(28, 14)
(29, 14)
(30, 14)
(30, 15)
(30, 16)
(30, 17)
(30, 18)
(30, 19)
(30, 20)
(30, 21)
(30, 22)
(30, 23)
(30, 24)
(30, 25)
(30, 27)
(30, 28)
(30, 26)
(30, 29)
(24, 14)
(24, 15)
(24, 16)
(24, 17)
(24, 18)
(24, 19)
(24, 20)
(24, 21)
(24, 22)
(24, 23)
(24, 24)
(24, 25)
(24, 26)
(24, 27)
(24, 28)
(25, 29)
